"","record_number","information_interest_1","information_interest_2","information_interest_3","information_interest_4"
"1",1,NA,NA,NA,4
"2",2,NA,NA,3,4
"3",3,NA,2,NA,4
"4",4,NA,NA,NA,4
"5",5,NA,2,3,4
"6",6,1,NA,NA,NA
"7",7,1,NA,3,NA
"8",8,1,NA,3,NA
"9",9,NA,NA,3,NA
"10",10,1,NA,NA,4
"11",11,1,NA,NA,4
"12",12,1,NA,NA,4
"13",13,NA,NA,3,NA
"14",14,1,NA,NA,4
"15",15,NA,NA,3,4
"16",16,1,NA,NA,4
"17",17,1,NA,3,NA
"18",18,1,NA,3,NA
"19",19,NA,NA,3,4
"20",20,1,NA,NA,4
"21",21,1,NA,NA,4
"22",23,NA,NA,NA,4
"23",24,1,NA,3,4
"24",25,1,NA,3,4
"25",26,1,2,NA,4
"26",27,NA,NA,3,NA
"27",28,1,NA,3,4
"28",29,1,NA,3,4
"29",30,1,NA,NA,NA
"30",31,1,NA,NA,4
"31",32,1,NA,NA,NA
"32",33,NA,NA,3,4
"33",34,NA,NA,3,NA
"34",35,NA,2,3,4
"35",36,NA,NA,3,NA
"36",37,1,NA,3,NA
"37",38,1,NA,NA,4
"38",39,NA,NA,3,4
"39",40,1,NA,3,NA
"40",41,NA,NA,3,4
"41",42,NA,NA,3,NA
"42",43,1,NA,NA,4
"43",44,1,NA,3,NA
"44",45,1,NA,3,NA
"45",46,NA,NA,3,NA
"46",47,1,NA,NA,4
"47",48,1,NA,NA,NA
"48",49,1,NA,3,4
"49",50,1,2,3,4
"50",51,NA,NA,3,NA
"51",52,1,NA,NA,4
"52",53,1,NA,NA,NA
"53",54,1,NA,3,NA
"54",55,1,NA,3,4
"55",57,1,NA,3,4
"56",58,1,NA,3,4
"57",59,NA,2,NA,NA
"58",60,1,NA,3,NA
"59",61,NA,NA,3,NA
"60",62,1,NA,NA,4
"61",63,NA,2,NA,4
"62",64,1,NA,3,NA
"63",65,1,NA,NA,NA
"64",66,1,NA,NA,NA
"65",67,1,NA,3,NA
"66",68,1,NA,NA,4
"67",69,1,NA,3,NA
"68",70,1,NA,NA,NA
"69",71,1,NA,3,NA
"70",72,1,NA,3,NA
"71",73,1,NA,NA,NA
"72",74,1,NA,NA,NA
"73",75,1,NA,NA,NA
"74",76,1,NA,NA,4
"75",77,NA,NA,3,NA
"76",78,1,NA,NA,NA
"77",79,NA,NA,3,4
"78",80,1,NA,3,4
"79",81,1,NA,3,NA
"80",82,1,NA,3,4
"81",83,1,NA,NA,NA
"82",84,NA,NA,NA,4
"83",85,NA,NA,3,NA
"84",86,1,NA,NA,NA
"85",87,1,NA,3,4
"86",88,1,NA,3,4
"87",89,1,NA,3,4
"88",90,1,NA,NA,NA
"89",91,1,NA,NA,NA
"90",92,1,NA,NA,NA
"91",93,NA,NA,3,NA
"92",94,1,NA,NA,NA
"93",95,1,NA,NA,NA
"94",96,1,NA,NA,NA
"95",97,NA,NA,3,NA
"96",98,NA,NA,3,4
"97",99,1,NA,3,NA
"98",100,NA,NA,3,4
"99",101,1,NA,3,NA
"100",102,1,NA,3,NA
"101",103,1,NA,3,4
"102",104,NA,NA,3,NA
"103",105,1,NA,NA,NA
"104",106,NA,NA,3,NA
"105",107,1,NA,NA,NA
"106",108,NA,NA,3,NA
"107",109,1,NA,NA,NA
"108",110,NA,NA,NA,4
"109",111,NA,NA,3,NA
"110",112,1,NA,NA,NA
"111",113,1,NA,NA,NA
"112",114,1,NA,NA,NA
"113",115,1,NA,3,NA
"114",116,1,NA,NA,NA
"115",117,NA,NA,3,NA
"116",118,1,NA,NA,NA
"117",119,1,2,3,4
"118",120,1,NA,NA,NA
"119",121,NA,NA,3,NA
"120",122,1,NA,3,4
"121",123,NA,NA,3,NA
"122",124,1,NA,NA,NA
"123",125,1,NA,3,NA
"124",126,1,NA,3,4
"125",127,NA,NA,3,NA
"126",128,1,2,3,4
"127",129,1,4,NA,NA
"128",130,1,NA,NA,4
"129",131,NA,NA,NA,4
"130",132,1,NA,NA,NA
"131",133,1,NA,NA,NA
"132",134,1,NA,NA,NA
"133",135,4,NA,3,NA
"134",136,NA,NA,3,4
"135",137,1,NA,NA,NA
"136",138,1,NA,3,NA
"137",140,1,2,3,4
"138",141,NA,2,NA,NA
"139",142,NA,NA,NA,4
"140",143,1,NA,NA,NA
"141",144,1,NA,NA,4
"142",145,1,NA,NA,NA
"143",146,NA,NA,NA,4
"144",147,NA,2,3,NA
"145",148,NA,NA,3,NA
"146",149,1,NA,NA,NA
"147",150,1,NA,3,NA
"148",151,NA,NA,3,NA
"149",152,NA,NA,3,NA
"150",153,1,NA,NA,NA
"151",154,1,NA,3,NA
"152",155,1,NA,3,4
"153",156,1,NA,3,4
"154",157,1,NA,3,4
"155",158,1,NA,3,4
"156",159,1,NA,3,4
"157",160,1,NA,3,NA
"158",161,1,NA,3,4
"159",162,NA,NA,3,NA
"160",163,1,NA,NA,NA
"161",164,2,NA,NA,NA
"162",165,1,NA,NA,NA
"163",166,NA,NA,NA,4
"164",167,1,NA,NA,4
"165",168,NA,2,NA,NA
"166",169,1,NA,3,NA
"167",170,1,NA,NA,4
"168",171,1,NA,NA,NA
"169",172,1,NA,NA,NA
"170",173,NA,NA,3,4
"171",174,1,NA,NA,NA
"172",175,1,NA,NA,NA
"173",176,NA,NA,NA,4
"174",177,NA,NA,NA,4
"175",178,NA,NA,3,NA
"176",179,1,NA,NA,4
"177",180,1,NA,NA,NA
"178",181,NA,NA,3,NA
"179",182,NA,NA,3,4
"180",183,1,NA,NA,NA
"181",185,1,NA,NA,NA
"182",186,1,NA,NA,NA
"183",187,NA,NA,NA,4
"184",188,1,NA,NA,NA
"185",190,NA,NA,3,NA
"186",191,1,2,3,4
"187",192,1,NA,NA,NA
"188",193,NA,NA,3,4
"189",194,1,NA,3,4
"190",195,1,NA,3,4
"191",196,1,NA,3,NA
"192",197,1,NA,NA,4
"193",198,1,NA,3,4
"194",199,1,NA,3,4
"195",200,NA,2,NA,4
"196",201,1,NA,3,NA
"197",202,NA,NA,3,NA
"198",203,1,NA,3,NA
"199",204,1,NA,3,NA
"200",205,1,NA,3,4
"201",206,1,NA,3,4
"202",207,1,NA,3,NA
"203",208,NA,NA,3,NA
"204",209,1,NA,NA,NA
"205",210,NA,NA,3,4
"206",211,1,NA,3,4
"207",212,1,NA,NA,NA
"208",213,1,NA,3,4
"209",214,1,NA,NA,NA
"210",215,1,NA,NA,4
"211",216,1,NA,NA,NA
"212",217,1,NA,NA,NA
"213",218,1,NA,NA,4
"214",219,NA,NA,3,4
"215",220,NA,NA,3,4
"216",221,NA,NA,3,4
"217",222,1,NA,3,4
"218",223,1,NA,NA,4
"219",224,1,NA,3,4
"220",225,1,NA,3,4
"221",226,1,NA,NA,NA
"222",227,1,NA,3,4
"223",228,1,NA,NA,NA
"224",229,1,NA,NA,NA
"225",230,1,NA,NA,NA
"226",231,NA,NA,3,NA
"227",232,1,NA,NA,NA
"228",233,NA,NA,3,NA
"229",234,1,NA,NA,NA
"230",235,NA,NA,NA,NA
"231",236,NA,NA,3,NA
"232",237,1,NA,NA,NA
"233",238,1,2,3,4
"234",239,1,NA,NA,NA
"235",240,NA,NA,3,NA
"236",241,1,NA,NA,NA
"237",242,NA,NA,3,NA
"238",243,1,NA,NA,NA
"239",244,1,2,3,4
"240",245,1,NA,NA,NA
"241",246,1,NA,NA,NA
"242",247,1,NA,NA,NA
"243",248,1,NA,NA,NA
"244",249,NA,NA,NA,4
"245",250,1,NA,NA,NA
"246",251,1,NA,3,4
"247",252,1,NA,3,4
"248",253,1,NA,3,4
"249",254,NA,NA,3,NA
"250",255,1,NA,NA,NA
"251",256,1,NA,NA,NA
"252",257,1,NA,NA,NA
"253",258,1,2,3,4
"254",259,1,NA,NA,NA
"255",261,1,NA,3,NA
"256",262,1,NA,NA,NA
"257",263,1,NA,NA,NA
"258",264,1,NA,NA,NA
"259",265,NA,2,NA,4
"260",266,NA,NA,3,NA
"261",267,NA,NA,3,NA
"262",268,1,NA,NA,NA
"263",269,NA,NA,3,NA
"264",270,1,NA,3,NA
"265",271,NA,NA,3,NA
"266",272,NA,NA,NA,4
"267",273,NA,NA,NA,4
"268",274,NA,NA,NA,4
"269",275,1,NA,NA,NA
"270",276,1,NA,NA,NA
"271",277,1,NA,NA,NA
"272",278,1,NA,NA,NA
"273",279,NA,NA,3,NA
"274",280,NA,NA,NA,4
"275",281,1,NA,NA,NA
"276",282,1,NA,NA,NA
"277",283,1,NA,3,NA
"278",284,NA,NA,NA,4
"279",285,NA,NA,3,4
"280",286,NA,NA,3,NA
"281",287,1,NA,NA,NA
"282",288,1,NA,NA,NA
"283",289,1,NA,NA,NA
"284",290,NA,NA,NA,4
"285",291,1,NA,NA,NA
"286",292,NA,NA,NA,4
"287",293,NA,NA,NA,4
"288",294,1,NA,NA,NA
"289",295,NA,2,NA,4
"290",296,NA,NA,3,4
"291",297,1,NA,NA,NA
"292",298,1,NA,NA,NA
"293",299,1,NA,NA,NA
"294",300,1,NA,NA,4
"295",301,1,NA,NA,NA
"296",302,1,NA,NA,NA
"297",303,1,NA,NA,NA
"298",304,1,NA,NA,NA
"299",305,NA,NA,3,NA
"300",306,1,NA,NA,NA
"301",307,NA,2,NA,NA
"302",308,1,NA,NA,NA
"303",309,1,NA,NA,NA
"304",310,1,2,NA,NA
"305",311,NA,NA,NA,3
"306",312,1,2,3,4
"307",313,1,NA,NA,NA
"308",314,1,NA,NA,NA
"309",315,1,NA,NA,NA
"310",316,NA,NA,3,NA
"311",317,NA,NA,3,NA
"312",318,NA,NA,3,NA
"313",319,1,NA,NA,NA
"314",320,1,NA,NA,NA
"315",321,NA,NA,NA,4
"316",322,1,NA,3,4
"317",323,1,3,4,NA
"318",324,1,2,3,4
"319",325,1,NA,3,4
"320",326,1,NA,3,4
"321",327,1,NA,NA,NA
"322",328,1,NA,3,4
"323",329,1,NA,3,4
"324",330,NA,NA,3,NA
"325",331,NA,NA,NA,4
"326",332,1,NA,NA,NA
"327",333,NA,NA,3,NA
"328",334,1,NA,3,4
"329",335,1,NA,3,4
"330",336,1,NA,3,4
"331",337,1,NA,3,4
"332",338,1,NA,3,4
"333",339,1,NA,3,4
"334",340,1,NA,3,4
"335",341,1,NA,NA,4
"336",342,1,NA,3,4
"337",343,1,NA,NA,NA
"338",344,1,NA,NA,NA
"339",345,NA,2,NA,NA
"340",347,1,NA,NA,NA
"341",350,NA,NA,3,NA
"342",351,1,NA,NA,NA
"343",425,NA,NA,3,NA
"344",426,NA,NA,NA,4
"345",427,NA,NA,3,4
"346",428,1,2,3,4
"347",429,1,NA,3,4
"348",430,1,NA,NA,4
"349",431,1,NA,NA,NA
"350",432,NA,NA,3,NA
"351",433,NA,NA,NA,4
"352",434,1,NA,NA,4
"353",435,NA,2,NA,4
"354",436,1,NA,NA,4
"355",437,1,NA,3,NA
"356",438,NA,2,NA,NA
"357",439,NA,NA,3,4
"358",441,1,NA,NA,4
"359",442,1,NA,NA,4
"360",443,NA,NA,NA,4
"361",444,1,NA,3,NA
"362",445,1,NA,NA,4
"363",446,1,NA,3,4
"364",447,1,NA,NA,4
"365",448,1,NA,NA,NA
"366",449,1,NA,3,4
"367",450,1,NA,NA,4
"368",451,1,NA,NA,4
"369",452,NA,NA,3,NA
"370",453,1,NA,NA,4
"371",454,NA,2,NA,4
"372",455,NA,NA,NA,4
"373",456,NA,2,NA,NA
"374",457,1,NA,3,NA
"375",458,NA,NA,NA,4
"376",459,1,NA,3,NA
"377",460,NA,2,NA,NA
"378",461,NA,NA,NA,4
"379",462,NA,NA,NA,4
"380",463,NA,NA,NA,4
"381",464,1,NA,NA,NA
"382",465,NA,NA,3,4
"383",466,1,NA,NA,NA
"384",467,NA,NA,3,4
"385",468,NA,NA,NA,NA
"386",470,NA,NA,3,NA
"387",471,NA,NA,NA,NA
"388",472,1,2,3,4
"389",473,1,2,NA,NA
"390",474,1,NA,NA,NA
"391",475,NA,NA,3,NA
"392",476,NA,NA,NA,NA
"393",477,1,NA,NA,NA
"394",478,NA,NA,3,4
"395",479,NA,NA,3,NA
"396",481,NA,NA,NA,NA
"397",482,NA,2,3,4
"398",483,1,NA,NA,4
"399",484,NA,NA,NA,NA
"400",485,NA,NA,NA,NA
"401",486,NA,NA,NA,NA
"402",487,1,NA,NA,NA
"403",488,NA,NA,3,NA
"404",489,NA,NA,3,4
"405",490,NA,NA,NA,4
"406",491,NA,NA,NA,NA
"407",492,NA,NA,NA,4
"408",493,NA,NA,3,4
"409",495,NA,NA,NA,NA
"410",496,NA,NA,3,NA
"411",497,NA,NA,3,NA
"412",498,NA,NA,NA,NA
"413",499,NA,NA,3,4
"414",500,1,NA,3,4
"415",501,1,NA,NA,NA
"416",502,NA,NA,3,NA
"417",503,1,NA,NA,NA
"418",504,NA,2,3,NA
"419",505,1,NA,NA,NA
"420",506,NA,NA,3,NA
"421",507,NA,NA,3,NA
"422",508,NA,NA,3,4
"423",509,NA,NA,NA,NA
"424",510,NA,NA,3,4
"425",511,NA,2,3,4
"426",512,1,NA,3,4
"427",513,1,2,NA,NA
"428",514,NA,NA,NA,NA
"429",515,NA,NA,NA,NA
"430",517,NA,NA,NA,NA
"431",518,NA,NA,NA,NA
"432",519,1,NA,NA,NA
"433",520,1,NA,3,NA
"434",521,1,NA,3,4
"435",522,1,NA,3,4
"436",523,1,NA,3,4
"437",524,NA,NA,3,NA
"438",526,NA,NA,NA,NA
"439",527,NA,NA,NA,NA
"440",528,1,2,3,4
"441",529,NA,NA,3,4
"442",530,NA,NA,NA,NA
"443",531,NA,NA,NA,NA
"444",532,NA,NA,3,4
"445",533,NA,NA,3,NA
"446",534,1,NA,3,4
"447",536,1,NA,3,4
"448",537,NA,NA,3,4
"449",538,NA,NA,3,4
"450",539,1,NA,3,NA
"451",540,NA,NA,3,NA
"452",541,NA,NA,3,NA
"453",542,1,NA,NA,NA
"454",543,NA,NA,NA,4
"455",544,NA,NA,3,NA
"456",545,1,NA,NA,NA
"457",546,NA,NA,3,NA
"458",547,1,NA,3,NA
"459",548,NA,NA,3,NA
"460",549,1,NA,NA,NA
"461",550,1,2,3,4
"462",551,1,2,3,4
"463",552,1,2,3,4
"464",553,1,NA,3,4
"465",554,1,NA,3,4
"466",555,1,NA,NA,NA
"467",556,1,NA,NA,NA
"468",557,1,NA,NA,NA
"469",558,NA,2,NA,NA
"470",559,NA,NA,3,NA
"471",560,NA,NA,3,NA
"472",561,1,NA,NA,4
"473",562,1,NA,NA,NA
"474",563,1,NA,NA,NA
"475",563,1,NA,NA,NA
"476",564,1,NA,3,4
"477",565,1,NA,NA,NA
"478",566,NA,NA,3,NA
"479",567,NA,NA,3,NA
"480",568,1,NA,NA,NA
"481",569,NA,2,NA,NA
"482",570,1,NA,NA,NA
"483",571,1,NA,NA,NA
"484",572,1,NA,NA,4
"485",573,NA,NA,3,NA
"486",574,1,NA,NA,4
"487",575,1,NA,NA,NA
"488",576,1,NA,3,NA
"489",577,NA,NA,3,NA
"490",578,NA,NA,NA,4
"491",579,1,NA,NA,NA
"492",580,1,NA,NA,NA
"493",581,NA,NA,NA,4
"494",582,NA,NA,3,NA
"495",583,NA,NA,NA,4
"496",584,1,NA,3,NA
"497",585,1,NA,NA,NA
"498",586,1,NA,NA,NA
"499",587,NA,NA,3,NA
"500",588,1,NA,NA,NA
"501",589,NA,NA,3,NA
"502",590,1,NA,NA,NA
"503",591,1,NA,NA,NA
"504",592,1,NA,NA,NA
"505",593,NA,2,NA,NA
"506",594,NA,2,NA,NA
"507",595,1,NA,3,4
"508",596,1,NA,NA,NA
"509",597,1,NA,NA,NA
"510",598,1,NA,NA,NA
"511",599,1,NA,NA,NA
"512",600,NA,NA,NA,4
"513",601,1,NA,NA,NA
"514",602,1,NA,NA,NA
"515",603,1,NA,NA,NA
"516",604,1,NA,NA,NA
"517",605,1,NA,NA,NA
"518",607,1,NA,3,NA
"519",608,1,NA,NA,NA
"520",609,1,NA,NA,NA
"521",610,1,NA,NA,NA
"522",611,NA,NA,3,NA
"523",612,NA,NA,NA,4
"524",613,1,NA,NA,4
"525",614,NA,NA,3,NA
"526",615,1,2,3,4
"527",616,1,2,3,4
"528",617,1,2,3,4
"529",618,1,2,3,4
"530",619,1,2,3,4
"531",620,1,2,3,4
"532",621,1,2,3,4
"533",622,1,2,3,4
"534",624,1,2,3,4
"535",625,1,2,3,4
"536",626,1,2,3,4
"537",627,1,2,3,4
"538",628,1,2,3,4
"539",629,1,NA,NA,4
"540",630,1,NA,3,NA
"541",631,NA,NA,3,NA
"542",632,NA,NA,3,NA
"543",633,1,NA,NA,NA
"544",634,1,NA,NA,NA
"545",635,1,NA,NA,4
"546",636,1,NA,NA,NA
"547",637,NA,NA,3,NA
"548",638,NA,NA,3,NA
"549",639,1,NA,3,NA
"550",640,1,NA,NA,NA
"551",641,1,NA,NA,4
"552",642,1,NA,NA,NA
