"","record_number","information_interest_1","information_interest_2","information_interest_3","information_interest_4"
"553",643,1,NA,NA,NA
"554",644,NA,NA,3,NA
"555",645,NA,NA,3,NA
"556",646,NA,NA,3,NA
"557",648,1,NA,NA,NA
"558",649,NA,NA,3,4
"559",650,1,NA,NA,4
"560",651,1,NA,3,NA
"561",652,1,NA,NA,NA
"562",653,1,2,3,4
"563",654,1,NA,3,NA
"564",655,1,2,3,4
"565",656,1,NA,3,4
"566",657,1,NA,3,NA
"567",658,1,NA,NA,4
"568",659,1,NA,NA,NA
"569",660,1,NA,3,NA
"570",661,1,NA,NA,NA
"571",662,1,NA,NA,NA
"572",663,NA,NA,3,NA
"573",664,1,NA,NA,4
"574",665,1,NA,NA,NA
"575",666,1,2,3,4
"576",667,1,NA,NA,4
"577",668,1,NA,3,NA
"578",669,1,NA,NA,4
"579",670,NA,NA,3,NA
"580",671,1,NA,NA,NA
"581",672,NA,NA,3,NA
"582",673,1,NA,3,NA
"583",674,1,NA,3,4
"584",675,1,2,3,4
"585",676,1,2,3,4
"586",677,1,2,3,4
"587",678,1,2,3,4
"588",680,1,NA,3,4
"589",681,1,NA,3,4
"590",682,1,NA,3,4
"591",683,1,2,3,4
"592",684,1,NA,3,4
"593",685,1,2,3,4
"594",686,1,NA,3,4
"595",687,1,2,3,4
"596",688,1,NA,NA,4
"597",689,1,NA,3,NA
"598",690,1,NA,NA,NA
"599",691,1,NA,NA,4
"600",692,NA,NA,3,NA
"601",693,1,NA,3,NA
"602",694,1,NA,NA,NA
"603",695,1,NA,NA,NA
"604",696,1,NA,NA,NA
"605",697,1,NA,3,NA
"606",699,1,2,3,4
"607",700,1,2,3,4
"608",701,1,NA,3,4
"609",702,1,2,3,4
"610",703,1,NA,3,4
"611",704,NA,NA,3,4
"612",705,1,NA,3,4
"613",706,1,2,3,4
"614",707,1,NA,3,4
"615",708,1,2,3,4
"616",709,1,2,3,4
"617",710,1,2,3,4
"618",711,1,NA,NA,NA
"619",712,1,NA,NA,NA
"620",713,1,2,3,4
"621",714,1,2,3,4
"622",715,1,NA,3,4
"623",716,1,NA,3,4
"624",717,1,2,3,4
"625",718,1,2,3,4
"626",719,1,NA,3,4
"627",720,1,NA,NA,NA
"628",721,NA,NA,3,NA
"629",722,NA,NA,3,NA
"630",723,NA,NA,NA,4
"631",724,1,NA,NA,NA
"632",725,1,NA,NA,NA
"633",726,1,NA,NA,NA
"634",727,1,NA,NA,NA
"635",728,NA,NA,3,NA
"636",729,1,NA,NA,NA
"637",730,1,NA,3,4
"638",731,1,NA,NA,NA
"639",732,1,NA,NA,NA
"640",733,1,NA,NA,NA
"641",735,1,NA,3,NA
"642",736,1,NA,NA,NA
"643",737,NA,NA,NA,NA
"644",738,1,NA,NA,NA
"645",739,1,NA,NA,NA
"646",740,1,NA,NA,NA
"647",741,NA,NA,3,NA
"648",742,1,NA,NA,NA
"649",743,1,NA,NA,NA
"650",744,NA,NA,3,NA
"651",745,1,NA,NA,NA
"652",746,1,NA,NA,NA
"653",747,NA,NA,NA,4
"654",748,1,NA,NA,NA
"655",749,NA,NA,NA,4
"656",751,1,NA,NA,NA
"657",752,1,NA,NA,NA
"658",753,NA,NA,NA,NA
"659",754,NA,NA,3,NA
"660",755,NA,NA,3,NA
"661",756,NA,NA,NA,4
"662",757,1,NA,NA,NA
"663",758,1,NA,NA,NA
"664",759,1,NA,NA,NA
"665",760,NA,2,NA,NA
"666",761,1,NA,NA,NA
"667",762,NA,NA,3,NA
"668",763,NA,NA,NA,4
"669",764,1,NA,NA,NA
"670",765,1,NA,NA,NA
"671",766,NA,NA,3,NA
"672",767,NA,NA,3,NA
"673",768,NA,NA,3,NA
"674",769,1,NA,NA,NA
"675",770,1,NA,NA,NA
"676",771,NA,NA,3,NA
"677",772,1,2,3,4
"678",773,1,2,3,4
"679",774,1,2,3,4
"680",775,1,2,3,4
"681",776,1,2,3,4
"682",777,1,NA,3,4
"683",778,1,NA,3,4
"684",779,1,2,3,4
"685",780,1,2,3,4
"686",781,1,2,3,4
"687",782,NA,NA,3,4
"688",783,NA,NA,NA,NA
"689",784,1,2,3,4
"690",785,1,NA,3,4
"691",786,1,2,3,4
"692",787,NA,NA,3,4
"693",788,NA,NA,3,4
"694",789,1,2,3,4
"695",790,1,2,3,4
"696",791,1,2,3,4
"697",792,1,NA,3,4
"698",793,NA,NA,NA,NA
"699",794,1,2,3,4
"700",795,1,2,3,4
"701",796,1,2,3,4
"702",798,1,NA,3,4
"703",799,NA,NA,3,4
"704",800,NA,NA,3,4
"705",801,1,2,3,4
"706",802,1,2,3,4
"707",803,1,NA,3,4
"708",804,NA,NA,3,4
"709",805,NA,NA,3,4
"710",806,1,NA,3,4
"711",807,1,2,3,4
"712",808,1,2,3,4
"713",809,1,2,3,4
"714",810,1,2,3,4
"715",810,1,2,3,4
"716",811,1,NA,NA,NA
"717",811,1,2,3,4
"718",812,1,NA,NA,NA
"719",812,1,2,3,4
"720",813,NA,NA,NA,4
"721",813,1,2,3,4
"722",814,NA,NA,NA,NA
"723",814,1,2,3,4
"724",815,1,NA,3,NA
"725",815,1,2,3,4
"726",816,NA,NA,3,NA
"727",816,1,NA,NA,4
"728",817,NA,NA,NA,NA
"729",817,1,NA,3,4
"730",818,NA,NA,3,4
"731",818,NA,NA,3,4
"732",819,NA,NA,3,4
"733",819,1,2,3,4
"734",820,NA,NA,3,NA
"735",820,1,2,3,4
"736",821,NA,2,3,4
"737",821,1,2,3,4
"738",822,1,NA,3,4
"739",822,1,2,3,4
"740",823,NA,NA,3,4
"741",823,1,NA,3,4
"742",824,1,NA,NA,NA
"743",824,1,2,3,4
"744",825,NA,2,3,4
"745",825,1,2,3,4
"746",826,1,NA,3,NA
"747",826,1,2,3,4
"748",827,1,NA,NA,NA
"749",827,1,2,3,4
"750",828,1,NA,NA,4
"751",828,1,2,3,4
"752",829,1,NA,3,NA
"753",829,1,NA,3,4
"754",830,1,NA,3,4
"755",831,NA,NA,3,NA
"756",833,NA,NA,NA,4
"757",834,NA,NA,NA,4
"758",835,1,NA,NA,NA
"759",836,1,NA,NA,NA
"760",837,1,NA,NA,NA
"761",838,NA,NA,3,NA
"762",839,1,NA,NA,NA
"763",840,1,NA,NA,NA
"764",841,1,NA,NA,NA
"765",842,1,NA,NA,NA
"766",843,1,2,3,4
"767",844,1,2,3,4
"768",845,1,2,3,4
"769",846,1,2,3,4
"770",847,1,NA,3,4
"771",848,1,2,3,4
"772",849,1,NA,3,4
"773",850,1,NA,NA,NA
"774",851,NA,2,NA,NA
"775",852,1,NA,NA,NA
"776",853,NA,NA,3,4
"777",854,NA,NA,NA,4
"778",855,1,NA,NA,NA
"779",856,1,2,NA,4
"780",857,1,NA,NA,NA
"781",858,NA,NA,3,NA
"782",859,1,NA,NA,NA
"783",861,1,NA,NA,NA
"784",862,1,NA,NA,NA
"785",863,1,NA,NA,NA
"786",864,NA,NA,NA,4
"787",865,1,NA,NA,NA
"788",866,1,NA,NA,NA
"789",867,1,NA,NA,NA
"790",890,1,NA,NA,NA
"791",891,NA,NA,NA,4
"792",892,1,NA,3,NA
"793",893,NA,NA,3,NA
"794",894,1,NA,NA,NA
"795",895,1,NA,NA,4
"796",896,NA,NA,3,NA
"797",897,NA,NA,NA,NA
"798",898,1,NA,3,NA
"799",899,1,NA,NA,NA
"800",900,1,NA,NA,NA
"801",901,1,NA,NA,NA
"802",902,1,NA,NA,NA
"803",903,NA,NA,NA,NA
"804",904,1,NA,NA,4
"805",905,NA,NA,NA,NA
"806",906,1,NA,NA,4
"807",907,1,2,3,4
"808",908,1,NA,3,NA
"809",909,1,NA,NA,NA
"810",910,1,2,3,4
"811",911,1,NA,NA,NA
"812",912,1,NA,3,4
"813",913,NA,NA,3,4
"814",914,1,NA,3,4
"815",915,1,NA,3,4
"816",916,1,NA,3,NA
"817",917,1,NA,3,NA
"818",918,1,NA,NA,4
"819",919,1,NA,NA,NA
"820",920,1,NA,NA,NA
"821",921,1,NA,NA,NA
"822",922,1,NA,NA,NA
"823",923,1,NA,NA,4
"824",924,1,NA,NA,NA
"825",925,1,NA,3,NA
"826",926,1,NA,NA,NA
"827",927,1,NA,3,NA
"828",928,1,NA,NA,4
"829",929,1,NA,NA,4
"830",930,1,NA,NA,NA
"831",931,1,NA,NA,NA
"832",932,1,NA,NA,4
"833",933,1,NA,3,NA
"834",934,1,NA,3,NA
"835",935,1,NA,NA,4
"836",936,1,NA,NA,NA
"837",937,1,NA,NA,4
"838",938,1,NA,NA,4
"839",939,1,NA,3,NA
"840",940,1,2,3,4
"841",941,NA,NA,3,4
"842",942,1,NA,3,4
"843",943,NA,NA,3,4
"844",944,1,NA,3,4
"845",945,1,NA,3,4
"846",946,1,NA,3,4
"847",947,1,NA,3,4
"848",948,1,NA,3,4
"849",949,1,NA,3,4
"850",950,NA,NA,3,4
"851",951,1,NA,3,4
"852",952,1,NA,3,4
"853",953,NA,NA,3,4
"854",954,1,NA,3,4
"855",955,NA,NA,3,4
"856",956,NA,NA,3,4
"857",957,1,NA,3,4
"858",958,NA,NA,3,4
"859",959,1,NA,3,4
"860",960,1,NA,3,4
"861",961,1,2,3,4
"862",962,NA,NA,3,4
"863",963,1,NA,3,4
"864",964,NA,NA,3,4
"865",965,1,NA,3,4
"866",966,NA,NA,3,4
"867",967,NA,2,3,4
"868",968,1,NA,3,4
"869",969,NA,NA,3,4
"870",970,1,2,3,4
"871",971,1,NA,3,4
"872",972,NA,NA,3,4
"873",973,1,NA,3,4
"874",974,1,NA,3,NA
"875",975,1,NA,NA,NA
"876",976,NA,NA,3,NA
"877",977,1,NA,NA,NA
"878",978,1,NA,NA,NA
"879",979,1,NA,NA,NA
"880",980,1,NA,3,NA
"881",981,1,NA,3,NA
"882",982,1,NA,NA,4
"883",983,1,NA,NA,NA
"884",984,1,NA,NA,NA
"885",985,1,NA,NA,NA
"886",986,1,NA,NA,NA
"887",987,1,NA,NA,NA
"888",988,1,NA,NA,NA
"889",989,1,NA,NA,NA
"890",990,1,NA,NA,NA
"891",991,1,NA,NA,NA
"892",992,1,NA,3,NA
"893",993,1,NA,NA,NA
"894",994,1,NA,3,NA
"895",995,1,NA,NA,NA
"896",996,1,NA,NA,NA
"897",997,1,NA,NA,NA
"898",998,1,NA,NA,NA
"899",999,1,NA,NA,NA
"900",NA,1,NA,NA,NA
"901",NA,1,NA,NA,NA
"902",1000,1,NA,NA,NA
"903",1001,1,NA,NA,NA
"904",1002,1,NA,NA,NA
"905",1003,1,NA,3,NA
"906",1004,1,NA,3,NA
"907",1005,1,NA,3,NA
"908",1006,1,NA,NA,NA
"909",1007,1,NA,NA,NA
"910",1008,1,NA,3,NA
"911",1009,1,NA,NA,NA
"912",1010,1,NA,NA,NA
"913",1011,1,NA,3,4
"914",1012,NA,NA,3,NA
"915",1013,1,NA,NA,NA
